,Overall,G0,G1,G2,M,S
RF (full),1.3132240798539798,1.4516239334259229,1.0389312792270935,1.4082073290338126,3.398515023471962,1.3938221574576437
RF (top 40),1.291078098770747,1.3982530088413885,1.0716308552669571,1.3920726610865126,2.521155463934586,1.3721653145187578
Lasso (full),2.0078662774678513,1.9848563929439016,1.5065671255983533,2.509815786211794,10.996939035046973,1.7798179019572855
Lasso (top 40),2.167819085581673,2.196085149666227,1.602758467922106,2.6997604538030515,12.427217662660896,1.8466614782573207
Ridge (full),2.049552239147684,2.118983901001848,1.5665939410965908,2.5181480102463016,11.113529125405774,1.7489464216196318
Ridge (top 40),2.173357106221304,2.2128049675491597,1.625926686035808,2.700316858605287,12.463131830087615,1.825117575010564
XGBoost (full),1.3678185002920673,1.4903182651581175,1.1518835052162566,1.3852897804733544,3.4371501830843374,1.4437238219804691
XGBoost (top 40),1.3727138590137076,1.5115653839502514,1.1342811959697956,1.4181983912408884,3.2975148635413327,1.4515161238023857
MLP (full),1.7178462196069213,1.6994449799035853,1.3809482256574448,2.078956759584232,9.560191472263124,1.4489861653434855
MLP (top 40),1.5833380873293914,1.6326528006081913,1.2998895226835154,1.6248121633511643,8.066590001930356,1.4959815828059122
